ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Category,Gloss_in_source
Chacon-2017-129-1,abeja,665,BEE,bee,cultural,ABEJA_BEE
Chacon-2017-129-2,"achiote, bija",349,ACHIOTE,achiote,cultural,"ACHIOTE, BIJA_ACHIOTE"
Chacon-2017-129-3,agua,948,WATER,water,basic/cultural,AGUA_WATER
Chacon-2017-129-4,agutí,313,AGOUTI,agouti,cultural,AGUTÍ_AGOUTI
Chacon-2017-129-5,"ajahuasca, jajé",276,BANISTERIUM,banisterium,cultural,"AJAHUASCA, JAJÉ_BANISTERIUM"
Chacon-2017-129-6,ají,919,CHILI PEPPER,chili pepper,cultural,AJÍ_CHILI PEPPER
Chacon-2017-129-7,algodón,1850,COTTON,cotton,cultural,ALGODÓN_COTTON
Chacon-2017-129-8,"armadillo, quinquincho, chupa",1885,ARMADILLO,armadillo,cultural,"ARMADILLO, QUINQUINCHO, CHUPA_ARMADILLO"
Chacon-2017-129-9,beber,1401,DRINK,drink,basic/cultural,BEBER_DRINK
Chacon-2017-129-10,caimán,2438,CAIMAN,cayman,cultural,CAIMÁN_CAYMAN
Chacon-2017-129-11,calabazo poro,411,GOURD,gourd,cultural,CALABAZO PORO_GOURD
Chacon-2017-129-12,"camino, sendero, trocha",,,"path, trail",basic/cultural,"CAMINO, SENDERO, TROCHA_PATH, TRAIL"
Chacon-2017-129-13,"camote, batata",159,SWEET POTATO,sweet potato,cultural,"CAMOTE, BATATA_SWEET POTATO"
Chacon-2017-129-14,"candela, fuego",221,FIRE,fire,basic/cultural,"CANDELA, FUEGO_FIRE"
Chacon-2017-129-15,canoa,1970,CANOE,canoe,cultural,CANOA_CANOE
Chacon-2017-129-16,caribe,317,PIRANHA,piranha,cultural,CARIBE_PIRANHA
Chacon-2017-129-17,casa,1252,HOUSE,house,cultural,CASA_HOUSE
Chacon-2017-129-18,"catarata, raudal",1670,RAPIDS,rapids,cultural,"CATARATA, RAUDAL_RAPIDS"
Chacon-2017-129-19,caña brava,146,SUGAR CANE,cane,cultural,CAÑA BRAVA_CANE
Chacon-2017-129-20,cerbatana,432,BLOWGUN,blowgun,cultural,CERBATANA_BLOWGUN
Chacon-2017-129-21,"chicha, masato",441,CHICHA,chicha,cultural,"CHICHA, MASATO_CHICHA"
Chacon-2017-129-22,"chigüiro, ronsoco",314,CAPYBARA,capybara,cultural,"CHIGÜIRO, RONSOCO_CAPYBARA"
Chacon-2017-129-23,chonta,440,CHONTA PALM,chonta palm,cultural,CHONTA_CHONTA PALM
Chacon-2017-129-24,cinco,493,FIVE,five,cultural,CINCO_FIVE
Chacon-2017-129-25,coca,137,COCA,coca,cultural,COCA_COCA
Chacon-2017-129-26,corona,1943,CROWN (OF HEAD),crown of head,cultural,CORONA_CROWN OF HEAD
Chacon-2017-129-27,cuchillo,1352,KNIFE,knife,cultural,CUCHILLO_KNIFE
Chacon-2017-129-28,cuerno,1393,HORN (ANATOMY),horn,basic/cultural,CUERNO_HORN
Chacon-2017-129-29,curandero,394,SHAMAN (FOLK HEALER),"shaman, folk healer",cultural,"CURANDERO_SHAMAN, FOLK HEALER"
Chacon-2017-129-30,danta,312,TAPIR,tapir,cultural,DANTA_TAPIR
